summary_id,  period_no, event_id, mean, standard_deviation, exposure_value, occ_year, occ_month, occ_day
1, 8093 ,100050, 932.87, 2138.66, 258638.14, 8093, 1, 1
2, 8093 ,100050, 2175.16, 4113.66, 432813.56, 8093, 1, 1
1, 7644 ,100065, 2855.72, 3205.36, 221508.27, 7644, 1, 1
2, 7644 ,100065, 6220.36, 5630.24, 370930.44, 7644, 1, 1
2, 6265 ,100110, 1.31, 13.08, 132903.36, 6265, 1, 1
1, 5586 ,100136, 257.11, 693.00, 64386.21, 5586, 1, 1
2, 5586 ,100136, 844.17, 1724.05, 109060.34, 5586, 1, 1
1, 3019 ,100211, 12708.95, 8370.13, 695932.06, 3019, 1, 1
2, 3019 ,100211, 22919.01, 13969.84, 1161636.75, 3019, 1, 1
1, 2837 ,100221, 2085.53, 3420.82, 390537.66, 2837, 1, 1
2, 2837 ,100221, 4432.62, 6228.28, 652646.06, 2837, 1, 1
1, 2379 ,100228, 6.52, 62.25, 305845.59, 2379, 1, 1
2, 2379 ,100228, 77.17, 367.76, 511492.66, 2379, 1, 1
1, 1786 ,100257, 69.16, 356.63, 25767.60, 1786, 1, 1
2, 1786 ,100257, 354.22, 993.02, 44695.99, 1786, 1, 1
1, 8696 ,200041, 860.59, 1828.71, 94653.81, 8696, 1, 1
2, 8696 ,200041, 2168.15, 3581.42, 159506.34, 8696, 1, 1
1, 6902 ,200098, 932.99, 2321.10, 390537.66, 6902, 1, 1
2, 6902 ,200098, 2041.26, 4417.06, 652646.06, 6902, 1, 1
1, 6392 ,200122, 2568.60, 4239.33, 390537.66, 6392, 1, 1
2, 6392 ,200122, 5236.28, 7584.82, 652646.06, 6392, 1, 1
1, 5376 ,200158, 2189.34, 3294.57, 390537.66, 5376, 1, 1
2, 5376 ,200158, 4680.08, 6010.67, 652646.06, 5376, 1, 1
1, 5189 ,200162, 566.11, 1574.83, 323140.12, 5189, 1, 1
2, 5189 ,200162, 1536.22, 3113.00, 540316.88, 5189, 1, 1
1, 4218 ,200196, 662.74, 3092.96, 189740.66, 4218, 1, 1
2, 4218 ,200196, 1221.76, 5513.94, 317984.41, 4218, 1, 1
1, 1381 ,200306, 522.79, 1426.99, 258638.14, 1381, 1, 1
2, 1381 ,200306, 1352.47, 2912.16, 432813.56, 1381, 1, 1
1, 910 ,200324, 749.63, 1531.65, 258638.14, 910, 1, 1
2, 910 ,200324, 1871.22, 3162.42, 432813.56, 910, 1, 1
2, 398 ,200341, 14.51, 145.08, 209082.50, 398, 1, 1
1, 9291 ,300023, 8719.97, 8631.47, 695932.06, 9291, 1, 1
2, 9291 ,300023, 16164.86, 14511.92, 1161636.75, 9291, 1, 1
1, 8745 ,300033, 1578.73, 3357.34, 390537.66, 8745, 1, 1
2, 8745 ,300033, 3518.94, 6048.41, 652646.06, 8745, 1, 1
1, 8093 ,300055, 65.09, 310.66, 258638.14, 8093, 1, 1
2, 8093 ,300055, 258.23, 911.60, 432813.56, 8093, 1, 1
1, 7912 ,300062, 1139.18, 2074.43, 290394.47, 7912, 1, 1
2, 7912 ,300062, 2950.48, 3908.34, 485740.75, 7912, 1, 1
1, 4559 ,300170, 1662.80, 2797.21, 390537.66, 4559, 1, 1
2, 4559 ,300170, 3612.81, 5246.73, 652646.06, 4559, 1, 1
1, 2919 ,300222, 2300.16, 3081.29, 221508.27, 2919, 1, 1
2, 2919 ,300222, 5097.54, 5540.65, 370930.44, 2919, 1, 1
1, 2680 ,300229, 1073.04, 1885.97, 86861.31, 2680, 1, 1
2, 2680 ,300229, 2547.82, 3761.75, 146518.84, 2680, 1, 1
1, 2016 ,300258, 2168.81, 3542.42, 503418.31, 2016, 1, 1
2, 2016 ,300258, 4658.59, 6374.73, 840780.50, 2016, 1, 1
1, 914 ,300300, 132.48, 643.20, 124399.51, 914, 1, 1
2, 914 ,300300, 333.13, 1434.57, 209082.50, 914, 1, 1
1, 363 ,300321, 269.78, 1018.13, 390537.66, 363, 1, 1
2, 363 ,300321, 752.52, 2151.32, 652646.06, 363, 1, 1
1, 67 ,300329, 2516.75, 3051.18, 622545.88, 67, 1, 1
2, 67 ,300329, 5476.82, 5511.92, 1039326.44, 67, 1, 1
1, 9493 ,400017, 3035.47, 5253.95, 590778.25, 9493, 1, 1
2, 9493 ,400017, 6171.62, 9157.64, 986380.38, 9493, 1, 1
1, 9480 ,400021, 12746.15, 9050.47, 695932.06, 9480, 1, 1
2, 9480 ,400021, 22980.17, 15103.62, 1161636.75, 9480, 1, 1
1, 7990 ,400070, 3896.88, 6001.50, 290394.47, 7990, 1, 1
2, 7990 ,400070, 7920.38, 10232.54, 485740.75, 7990, 1, 1
1, 7640 ,400080, 629.66, 1270.52, 64386.21, 7640, 1, 1
2, 7640 ,400080, 1691.31, 2737.48, 109060.34, 7640, 1, 1
1, 3655 ,400222, 1469.46, 3664.03, 590778.25, 3655, 1, 1
2, 3655 ,400222, 3251.74, 6530.87, 986380.38, 3655, 1, 1
1, 2436 ,400263, 1105.72, 2917.68, 345615.28, 2436, 1, 1
2, 2436 ,400263, 2860.96, 5197.66, 577775.44, 2436, 1, 1
1, 8395 ,500042, 1260.80, 2249.52, 290394.47, 8395, 1, 1
2, 8395 ,500042, 3080.86, 4238.65, 485740.75, 8395, 1, 1
1, 7863 ,500057, 844.67, 1976.71, 390537.66, 7863, 1, 1
2, 7863 ,500057, 1993.96, 3848.26, 652646.06, 7863, 1, 1
1, 6545 ,500097, 2172.97, 3269.24, 329024.34, 6545, 1, 1
2, 6545 ,500097, 4758.97, 5901.60, 550123.88, 6545, 1, 1
2, 5511 ,500121, 17.12, 171.25, 432813.56, 5511, 1, 1
1, 4441 ,500168, 615.89, 3621.81, 78360.00, 4441, 1, 1
2, 4441 ,500168, 1096.49, 6327.73, 132350.00, 4441, 1, 1
1, 4362 ,500170, 5.88, 58.79, 124399.51, 4362, 1, 1
2, 4362 ,500170, 28.27, 273.06, 209082.50, 4362, 1, 1
1, 4327 ,500171, 2214.25, 3421.66, 390537.66, 4327, 1, 1
2, 4327 ,500171, 4691.82, 6228.51, 652646.06, 4327, 1, 1
1, 2952 ,500219, 4170.58, 5261.71, 390537.66, 2952, 1, 1
2, 2952 ,500219, 8190.72, 9200.53, 652646.06, 2952, 1, 1
1, 2761 ,500228, 1162.38, 2033.34, 390537.66, 2761, 1, 1
2, 2761 ,500228, 2823.07, 3944.36, 652646.06, 2761, 1, 1
1, 2673 ,500232, 2850.01, 5343.88, 221508.27, 2673, 1, 1
2, 2673 ,500232, 5948.63, 9232.15, 370930.44, 2673, 1, 1
1, 810 ,500291, 2455.90, 3995.41, 390537.66, 810, 1, 1
2, 810 ,500291, 5051.44, 7182.25, 652646.06, 810, 1, 1
1, 9128 ,600024, 1010.83, 2244.73, 390537.66, 9128, 1, 1
2, 9128 ,600024, 2297.53, 4303.41, 652646.06, 9128, 1, 1
2, 8354 ,600044, 2.23, 22.34, 12237.50, 8354, 1, 1
1, 7755 ,600063, 30.06, 216.33, 64386.21, 7755, 1, 1
2, 7755 ,600063, 128.71, 627.78, 109060.34, 7755, 1, 1
1, 5909 ,600119, 172.04, 795.12, 258638.14, 5909, 1, 1
2, 5909 ,600119, 546.83, 1722.01, 432813.56, 5909, 1, 1
1, 4300 ,600168, 456.65, 2500.24, 212215.75, 4300, 1, 1
2, 4300 ,600168, 1047.49, 4471.98, 355442.91, 4300, 1, 1
1, 3479 ,600210, 1498.60, 2809.86, 212215.75, 3479, 1, 1
2, 3479 ,600210, 3428.73, 5171.90, 355442.91, 3479, 1, 1
1, 2984 ,600225, 5171.99, 7548.41, 622545.88, 2984, 1, 1
2, 2984 ,600225, 10204.99, 12703.13, 1039326.44, 2984, 1, 1
1, 2425 ,600241, 280.17, 1237.62, 124399.51, 2425, 1, 1
2, 2425 ,600241, 606.35, 2446.23, 209082.50, 2425, 1, 1
1, 2266 ,600246, 430.05, 1019.27, 64386.21, 2266, 1, 1
2, 2266 ,600246, 1289.19, 2276.69, 109060.34, 2266, 1, 1
1, 1530 ,600279, 3995.54, 6442.33, 436599.81, 1530, 1, 1
2, 1530 ,600279, 8142.00, 10919.29, 729416.31, 1530, 1, 1
1, 4940 ,700158, 2610.89, 5200.67, 221508.27, 4940, 1, 1
2, 4940 ,700158, 5510.76, 8995.23, 370930.44, 4940, 1, 1
1, 4828 ,700163, 1180.89, 2682.50, 590778.25, 4828, 1, 1
2, 4828 ,700163, 2565.87, 5021.41, 986380.38, 4828, 1, 1
1, 2227 ,700258, 3146.95, 5178.10, 695932.06, 2227, 1, 1
2, 2227 ,700258, 6540.23, 8935.21, 1161636.75, 2227, 1, 1
1, 1991 ,700268, 30.22, 223.85, 25767.60, 1991, 1, 1
2, 1991 ,700268, 282.25, 768.21, 44695.99, 1991, 1, 1
1, 1560 ,700288, 1851.32, 3579.40, 390537.66, 1560, 1, 1
2, 1560 ,700288, 3882.59, 6499.28, 652646.06, 1560, 1, 1
1, 1107 ,700301, 5145.38, 5413.18, 590778.25, 1107, 1, 1
2, 1107 ,700301, 10121.41, 9231.13, 986380.38, 1107, 1, 1
1, 5197 ,800140, 2176.69, 3533.87, 390537.66, 5197, 1, 1
2, 5197 ,800140, 4488.14, 6475.46, 652646.06, 5197, 1, 1
1, 4268 ,800167, 1523.90, 2225.53, 64386.21, 4268, 1, 1
2, 4268 ,800167, 3545.65, 4276.32, 109060.34, 4268, 1, 1
1, 2700 ,800210, 756.51, 1536.32, 258638.14, 2700, 1, 1
2, 2700 ,800210, 2063.48, 3104.96, 432813.56, 2700, 1, 1
1, 1605 ,800258, 878.19, 1787.26, 258638.14, 1605, 1, 1
2, 1605 ,800258, 2170.98, 3551.78, 432813.56, 1605, 1, 1
1, 1135 ,800270, 2578.64, 6576.13, 613253.38, 1135, 1, 1
2, 1135 ,800270, 5412.01, 11236.57, 1023838.88, 1135, 1, 1
1, 919 ,800276, 3039.33, 5132.55, 622545.88, 919, 1, 1
2, 919 ,800276, 6341.69, 8864.84, 1039326.44, 919, 1, 1
1, 9005 ,900022, 2085.05, 3943.85, 390537.66, 9005, 1, 1
2, 9005 ,900022, 4314.33, 7093.40, 652646.06, 9005, 1, 1
2, 4407 ,900171, 0.16, 1.63, 209082.50, 4407, 1, 1
1, 3708 ,900203, 5593.87, 8154.43, 290394.47, 3708, 1, 1
2, 3708 ,900203, 10890.62, 13724.66, 485740.75, 3708, 1, 1
1, 2944 ,900233, 13263.40, 9088.94, 695932.06, 2944, 1, 1
2, 2944 ,900233, 23807.25, 15221.97, 1161636.75, 2944, 1, 1
1, 910 ,900307, 232.56, 810.67, 258638.14, 910, 1, 1
2, 910 ,900307, 651.59, 1825.11, 432813.56, 910, 1, 1
1, 698 ,900312, 456.12, 1047.51, 64386.21, 698, 1, 1
2, 698 ,900312, 1332.25, 2343.62, 109060.34, 698, 1, 1
1, 9344 ,1000022, 491.93, 2256.98, 290394.47, 9344, 1, 1
2, 9344 ,1000022, 1287.13, 4093.80, 485740.75, 9344, 1, 1
1, 8311 ,1000050, 6515.33, 7449.44, 622545.88, 8311, 1, 1
2, 8311 ,1000050, 12373.41, 12634.55, 1039326.44, 8311, 1, 1
1, 7867 ,1000068, 2215.75, 4624.52, 590778.25, 7867, 1, 1
2, 7867 ,1000068, 4712.33, 8093.95, 986380.38, 7867, 1, 1
2, 6481 ,1000112, 6.47, 64.75, 432813.56, 6481, 1, 1
1, 5505 ,1000146, 2387.17, 4417.90, 390537.66, 5505, 1, 1
2, 5505 ,1000146, 4826.23, 7886.95, 652646.06, 5505, 1, 1
1, 863 ,1000285, 493.48, 1070.64, 258638.14, 863, 1, 1
2, 863 ,1000285, 1486.29, 2368.37, 432813.56, 863, 1, 1
1, 9128 ,1100033, 446.44, 1548.89, 258638.14, 9128, 1, 1
2, 9128 ,1100033, 1109.84, 3039.32, 432813.56, 9128, 1, 1
1, 8530 ,1100052, 1525.55, 2925.87, 390537.66, 8530, 1, 1
2, 8530 ,1100052, 3234.43, 5468.05, 652646.06, 8530, 1, 1
1, 6285 ,1100122, 2344.30, 3159.04, 221508.27, 6285, 1, 1
2, 6285 ,1100122, 5096.61, 5722.12, 370930.44, 6285, 1, 1
1, 3393 ,1100215, 55.79, 226.84, 25767.60, 3393, 1, 1
2, 3393 ,1100215, 360.13, 871.84, 44695.99, 3393, 1, 1
1, 8687 ,1200036, 3009.83, 5392.68, 290394.47, 8687, 1, 1
2, 8687 ,1200036, 6161.97, 9355.14, 485740.75, 8687, 1, 1
1, 7558 ,1200077, 1054.80, 2047.77, 390537.66, 7558, 1, 1
2, 7558 ,1200077, 2329.08, 4058.99, 652646.06, 7558, 1, 1
1, 6181 ,1200118, 2974.60, 4123.81, 390537.66, 6181, 1, 1
2, 6181 ,1200118, 6031.20, 7396.88, 652646.06, 6181, 1, 1
1, 4793 ,1200148, 1515.32, 3502.30, 477897.62, 4793, 1, 1
2, 4793 ,1200148, 3253.67, 6322.15, 798246.00, 4793, 1, 1
1, 3609 ,1200190, 41.00, 234.52, 64386.21, 3609, 1, 1
2, 3609 ,1200190, 208.43, 758.88, 109060.34, 3609, 1, 1
1, 3193 ,1200204, 318.28, 2311.92, 78360.00, 3193, 1, 1
2, 3193 ,1200204, 565.46, 4092.15, 132350.00, 3193, 1, 1
1, 192 ,1200298, 60.34, 347.88, 258638.14, 192, 1, 1
2, 192 ,1200298, 195.61, 905.48, 432813.56, 192, 1, 1
1, 7151 ,1300090, 22.92, 129.04, 124399.51, 7151, 1, 1
2, 7151 ,1300090, 118.50, 545.95, 209082.50, 7151, 1, 1
1, 6488 ,1300118, 684.77, 1441.51, 64386.21, 6488, 1, 1
2, 6488 ,1300118, 1849.45, 2971.85, 109060.34, 6488, 1, 1
1, 2429 ,1300250, 4507.37, 5614.01, 221508.27, 2429, 1, 1
2, 2429 ,1300250, 9032.45, 9558.07, 370930.44, 2429, 1, 1
1, 2128 ,1300265, 3100.25, 5733.67, 221508.27, 2128, 1, 1
2, 2128 ,1300265, 6341.85, 9898.18, 370930.44, 2128, 1, 1
1, 1209 ,1300287, 1082.00, 1841.76, 94653.81, 1209, 1, 1
2, 1209 ,1300287, 2758.81, 3601.17, 159506.34, 1209, 1, 1
1, 1126 ,1300291, 1524.54, 3118.42, 390537.66, 1126, 1, 1
2, 1126 ,1300291, 3355.43, 5701.61, 652646.06, 1126, 1, 1
1, 495 ,1300312, 920.45, 1948.15, 258638.14, 495, 1, 1
2, 495 ,1300312, 2122.18, 3844.35, 432813.56, 495, 1, 1
1, 291 ,1300323, 56.42, 169.96, 141648.25, 291, 1, 1
2, 291 ,1300323, 435.67, 881.94, 237830.41, 291, 1, 1
1, 9872 ,1400006, 2111.70, 4561.52, 212215.75, 9872, 1, 1
2, 9872 ,1400006, 4721.71, 7890.97, 355442.91, 9872, 1, 1
1, 9789 ,1400009, 8853.20, 8481.70, 695932.06, 9789, 1, 1
2, 9789 ,1400009, 16411.94, 14238.62, 1161636.75, 9789, 1, 1
1, 9534 ,1400019, 10260.02, 7416.46, 556532.62, 9534, 1, 1
2, 9534 ,1400019, 18749.60, 12506.58, 929304.38, 9534, 1, 1
1, 8842 ,1400040, 9643.42, 7301.07, 695932.06, 8842, 1, 1
2, 8842 ,1400040, 17709.96, 12324.29, 1161636.75, 8842, 1, 1
1, 8358 ,1400054, 26.54, 186.75, 124399.51, 8358, 1, 1
2, 8358 ,1400054, 90.74, 567.60, 209082.50, 8358, 1, 1
1, 7350 ,1400086, 2362.73, 4307.39, 221508.27, 7350, 1, 1
2, 7350 ,1400086, 5093.16, 7539.67, 370930.44, 7350, 1, 1
1, 6908 ,1400098, 2015.29, 3206.87, 390537.66, 6908, 1, 1
2, 6908 ,1400098, 4297.96, 5897.00, 652646.06, 6908, 1, 1
1, 4037 ,1400184, 10109.60, 7300.81, 556532.62, 4037, 1, 1
2, 4037 ,1400184, 18566.20, 12216.51, 929304.38, 4037, 1, 1
1, 3690 ,1400201, 946.12, 1861.66, 258638.14, 3690, 1, 1
2, 3690 ,1400201, 2348.54, 3668.69, 432813.56, 3690, 1, 1
1, 3682 ,1400202, 6724.79, 8364.27, 290394.47, 3682, 1, 1
2, 3682 ,1400202, 12789.12, 14085.52, 485740.75, 3682, 1, 1
1, 1436 ,1400266, 152.73, 1233.13, 124399.51, 1436, 1, 1
2, 1436 ,1400266, 324.56, 2281.81, 209082.50, 1436, 1, 1
1, 1179 ,1400273, 858.30, 2532.05, 258638.14, 1179, 1, 1
2, 1179 ,1400273, 2008.05, 4673.60, 432813.56, 1179, 1, 1
1, 960 ,1400283, 4186.57, 6047.72, 436599.81, 960, 1, 1
2, 960 ,1400283, 8453.76, 10283.67, 729416.31, 960, 1, 1
1, 720 ,1400288, 4340.73, 5108.11, 483146.41, 720, 1, 1
2, 720 ,1400288, 8722.64, 8755.64, 806994.00, 720, 1, 1
1, 376 ,1400302, 895.32, 1806.18, 258638.14, 376, 1, 1
2, 376 ,1400302, 2271.78, 3561.49, 432813.56, 376, 1, 1
1, 8015 ,1500064, 1397.36, 2485.39, 258638.14, 8015, 1, 1
2, 8015 ,1500064, 3159.77, 4711.88, 432813.56, 8015, 1, 1
1, 7712 ,1500076, 24.49, 108.70, 258638.14, 7712, 1, 1
2, 7712 ,1500076, 186.75, 616.64, 432813.56, 7712, 1, 1
2, 6309 ,1500123, 2.38, 23.79, 109060.34, 6309, 1, 1
1, 3583 ,1500213, 652.88, 2102.26, 390537.66, 3583, 1, 1
2, 3583 ,1500213, 1448.49, 3975.27, 652646.06, 3583, 1, 1
1, 3516 ,1500215, 785.75, 1828.52, 258638.14, 3516, 1, 1
2, 3516 ,1500215, 1899.44, 3600.84, 432813.56, 3516, 1, 1
1, 3076 ,1500234, 528.61, 1046.35, 64386.21, 3076, 1, 1
2, 3076 ,1500234, 1520.44, 2385.90, 109060.34, 3076, 1, 1
1, 2994 ,1500236, 9630.68, 7094.98, 695932.06, 2994, 1, 1
2, 2994 ,1500236, 17751.35, 11896.46, 1161636.75, 2994, 1, 1
1, 2467 ,1500246, 30.92, 259.03, 390537.66, 2467, 1, 1
2, 2467 ,1500246, 127.01, 693.02, 652646.06, 2467, 1, 1
2, 1962 ,1500262, 14.83, 105.20, 432813.56, 1962, 1, 1
2, 1818 ,1500267, 4.23, 42.31, 432813.56, 1818, 1, 1
1, 671 ,1500307, 11.78, 117.80, 313638.09, 671, 1, 1
2, 671 ,1500307, 38.92, 371.59, 524480.12, 671, 1, 1
1, 7205 ,1600087, 29.15, 291.53, 124399.51, 7205, 1, 1
2, 7205 ,1600087, 79.21, 668.14, 209082.50, 7205, 1, 1
1, 7085 ,1600092, 8381.16, 7964.62, 695932.06, 7085, 1, 1
2, 7085 ,1600092, 15595.86, 13410.67, 1161636.75, 7085, 1, 1
2, 7011 ,1600095, 1.56, 15.58, 44695.99, 7011, 1, 1
1, 6756 ,1600102, 2878.18, 3382.70, 221508.27, 6756, 1, 1
2, 6756 ,1600102, 6185.01, 5980.17, 370930.44, 6756, 1, 1
1, 5573 ,1600146, 5072.36, 5810.54, 290394.47, 5573, 1, 1
2, 5573 ,1600146, 9921.63, 9948.37, 485740.75, 5573, 1, 1
1, 3624 ,1600202, 1428.89, 2477.12, 390537.66, 3624, 1, 1
2, 3624 ,1600202, 3338.91, 4642.87, 652646.06, 3624, 1, 1
1, 3585 ,1600203, 1654.06, 2579.12, 390537.66, 3585, 1, 1
2, 3585 ,1600203, 3640.06, 4903.70, 652646.06, 3585, 1, 1
1, 9192 ,1700028, 700.73, 4095.50, 189740.66, 9192, 1, 1
2, 9192 ,1700028, 1364.34, 7108.09, 317984.41, 9192, 1, 1
1, 7332 ,1700074, 500.31, 1260.57, 258638.14, 7332, 1, 1
2, 7332 ,1700074, 1278.96, 2673.76, 432813.56, 7332, 1, 1
1, 7220 ,1700081, 3034.23, 8249.38, 221508.27, 7220, 1, 1
2, 7220 ,1700081, 6101.54, 14033.30, 370930.44, 7220, 1, 1
1, 6461 ,1700109, 3184.51, 7864.31, 189740.66, 6461, 1, 1
2, 6461 ,1700109, 6444.81, 13378.25, 317984.41, 6461, 1, 1
1, 6001 ,1700128, 5495.01, 5981.57, 590778.25, 6001, 1, 1
2, 6001 ,1700128, 10670.46, 10203.12, 986380.38, 6001, 1, 1
1, 4947 ,1700157, 817.92, 1713.20, 258638.14, 4947, 1, 1
2, 4947 ,1700157, 2030.06, 3431.60, 432813.56, 4947, 1, 1
1, 3930 ,1700189, 341.26, 1179.12, 212215.75, 3930, 1, 1
2, 3930 ,1700189, 1077.23, 2415.80, 355442.91, 3930, 1, 1
1, 2694 ,1700232, 21.32, 138.17, 6292.50, 2694, 1, 1
2, 2694 ,1700232, 106.66, 520.98, 12237.50, 2694, 1, 1
1, 2440 ,1700243, 33.30, 177.31, 64386.21, 2440, 1, 1
2, 2440 ,1700243, 187.43, 673.41, 109060.34, 2440, 1, 1
1, 2277 ,1700247, 1394.92, 2985.47, 390537.66, 2277, 1, 1
2, 2277 ,1700247, 3087.12, 5486.69, 652646.06, 2277, 1, 1
1, 8009 ,1800056, 10680.87, 9180.10, 695932.06, 8009, 1, 1
2, 8009 ,1800056, 19511.70, 15348.84, 1161636.75, 8009, 1, 1
1, 7849 ,1800064, 813.80, 4907.48, 212215.75, 7849, 1, 1
2, 7849 ,1800064, 1592.57, 8446.21, 355442.91, 7849, 1, 1
1, 7379 ,1800079, 3826.92, 6114.26, 622545.88, 7379, 1, 1
2, 7379 ,1800079, 7781.93, 10425.44, 1039326.44, 7379, 1, 1
1, 5159 ,1800150, 877.52, 1841.53, 258638.14, 5159, 1, 1
2, 5159 ,1800150, 2141.56, 3641.42, 432813.56, 5159, 1, 1
1, 4918 ,1800158, 2727.00, 4200.67, 390537.66, 4918, 1, 1
2, 4918 ,1800158, 5612.14, 7480.39, 652646.06, 4918, 1, 1
1, 3331 ,1800201, 804.84, 1446.24, 64386.21, 3331, 1, 1
2, 3331 ,1800201, 2170.34, 2998.65, 109060.34, 3331, 1, 1
1, 2950 ,1800211, 1167.31, 2532.35, 390537.66, 2950, 1, 1
2, 2950 ,1800211, 2645.17, 4758.21, 652646.06, 2950, 1, 1
1, 2589 ,1800221, 1237.23, 2419.34, 64386.21, 2589, 1, 1
2, 2589 ,1800221, 2831.59, 4587.95, 109060.34, 2589, 1, 1
2, 1195 ,1800270, 17.74, 126.31, 209082.50, 1195, 1, 1
1, 1087 ,1800272, 1659.64, 2423.07, 64386.21, 1087, 1, 1
2, 1087 ,1800272, 3793.48, 4589.03, 109060.34, 1087, 1, 1
1, 879 ,1800279, 1023.98, 1973.38, 390537.66, 879, 1, 1
2, 879 ,1800279, 2520.73, 3841.69, 652646.06, 879, 1, 1
1, 684 ,1800288, 538.06, 1035.19, 64386.21, 684, 1, 1
2, 684 ,1800288, 1502.20, 2389.75, 109060.34, 684, 1, 1
1, 9665 ,1900009, 401.40, 2993.35, 189740.66, 9665, 1, 1
2, 9665 ,1900009, 703.99, 5221.86, 317984.41, 9665, 1, 1
1, 9583 ,1900011, 201.15, 532.12, 64386.21, 9583, 1, 1
2, 9583 ,1900011, 674.71, 1469.51, 109060.34, 9583, 1, 1
1, 6912 ,1900084, 284.37, 1056.10, 258638.14, 6912, 1, 1
2, 6912 ,1900084, 770.06, 2207.69, 432813.56, 6912, 1, 1
1, 4123 ,1900157, 3409.66, 3415.76, 290394.47, 4123, 1, 1
2, 4123 ,1900157, 7211.88, 5935.11, 485740.75, 4123, 1, 1
1, 4101 ,1900159, 5276.79, 6856.02, 695932.06, 4101, 1, 1
2, 4101 ,1900159, 10197.75, 11712.65, 1161636.75, 4101, 1, 1
1, 1958 ,1900226, 3810.44, 6283.77, 221508.27, 1958, 1, 1
2, 1958 ,1900226, 7624.57, 10786.19, 370930.44, 1958, 1, 1
1, 1398 ,1900246, 997.31, 4345.91, 212215.75, 1398, 1, 1
2, 1398 ,1900246, 1974.61, 7592.06, 355442.91, 1398, 1, 1
1, 103 ,1900284, 5555.00, 6108.42, 622545.88, 103, 1, 1
2, 103 ,1900284, 10833.09, 10351.86, 1039326.44, 103, 1, 1
1, 25 ,1900286, 1731.32, 2790.24, 390537.66, 25, 1, 1
2, 25 ,1900286, 3918.69, 5146.85, 652646.06, 25, 1, 1
2, 7459 ,2000074, 3.04, 27.73, 12237.50, 7459, 1, 1
1, 6199 ,2000135, 1265.50, 1858.73, 72178.71, 6199, 1, 1
2, 6199 ,2000135, 3078.07, 3689.81, 122047.84, 6199, 1, 1
1, 4928 ,2000180, 3272.62, 5120.63, 613253.38, 4928, 1, 1
2, 4928 ,2000180, 6764.57, 8844.18, 1023838.88, 4928, 1, 1
1, 3476 ,2000225, 1045.51, 2162.69, 258638.14, 3476, 1, 1
2, 3476 ,2000225, 2566.23, 4115.05, 432813.56, 3476, 1, 1
1, 3357 ,2000227, 2075.88, 3067.50, 390537.66, 3357, 1, 1
2, 3357 ,2000227, 4529.70, 5618.44, 652646.06, 3357, 1, 1
1, 2741 ,2000250, 1302.00, 3278.78, 258638.14, 2741, 1, 1
