summary_id,type,mean,standard_deviation,ensemble_id
19,2,48.006348,337.737366,8
19,2,148.691936,602.701544,9
19,2,0.000000,0.000000,10
20,2,7409.512923,35805.536134,1
20,2,4549.909599,24182.593057,2
20,2,3634.033179,25566.385174,3
20,2,0.000000,0.000000,4
20,2,3690.921774,18325.780819,5
20,2,8454.605595,34581.968924,6
20,2,1088.990641,7661.337366,7
20,2,0.000000,0.000000,8
20,2,0.000000,0.000000,9
20,2,1236.755331,8700.901065,10
